ID,present,WC_alt,WC_bio1,WC_bio2,ER_climaticMoistureIndex,ER_topoWet,lon,lat
1802,1,194,29.100000381469727,13.800000190734863,-0.7400000095367432,13.15999984741211,2.836736,13.234149
1803,1,222,29,13.899999618530273,-0.7599999904632568,12.539999961853027,2.821916,13.373809
1804,1,205,29.100000381469727,13.800000190734863,-0.75,12.869999885559082,2.947264,13.321379
1805,1,250,28.899999618530273,14,-0.7599999904632568,13.010000228881836,2.655785,13.261138
1806,1,533,22.100000381469727,16,-0.8100000023841858,12.90999984741211,29.223592,-22.231025
1807,1,32,21.700000762939453,10.699999809265137,-0.38999998569488525,12.430000305175781,32.391861,-27.879714
1808,1,657,23.700000762939453,14.100000381469727,-0.5400000214576721,12.289999961853027,31.610076,-13.025206
1809,1,999,21.600000381469727,16.299999237060547,-0.7900000214576721,15.420000076293945,23.194806,-21.587225
1810,1,1578,19.299999237060547,13,-0.5400000214576721,12.680000305175781,36.987116,-1.258792
1811,1,667,18.200000762939453,13.100000381469727,-0.3799999952316284,10.989999771118164,30.428811,-29.468099
1812,1,1639,19.600000381469727,11,-0.4699999988079071,12.920000076293945,34.995018,-2.564145
1813,1,1002,21.600000381469727,16.200000762939453,-0.7900000214576721,15.449999809265137,23.242151,-21.465142
1814,1,1558,20.200000762939453,11.100000381469727,-0.4699999988079071,13.069999694824219,34.897784,-2.453716
1815,1,1646,19.399999618530273,13.5,-0.27000001072883606,11.4399995803833,34.870956,-1.361333
1816,1,1580,20,10.800000190734863,-0.44999998807907104,12.640000343322754,34.795295,-2.707684
1817,1,1628,19.600000381469727,10.600000381469727,-0.4399999976158142,13.239999771118164,34.913483,-2.84972
1818,1,1697,19,10.300000190734863,-0.44999998807907104,12.270000457763672,35.105875,-3.108724
1819,1,1665,19.200000762939453,10.399999618530273,-0.4399999976158142,12.760000228881836,35.034669,-3.1319
1820,1,1697,19,10.300000190734863,-0.44999998807907104,12.270000457763672,35.093882,-3.139876
1821,1,1640,19.299999237060547,10.399999618530273,-0.5,12.640000343322754,35.135215,-3.0044
1822,1,1362,20.600000381469727,11,-0.6299999952316284,10.779999732971191,35.482191,-3.063309
1823,1,1626,19.5,10.399999618530273,-0.4699999988079071,12.869999885559082,35.003905,-3.0456
1824,1,2249,14.5,10.300000190734863,0.05999999865889549,7.599999904632568,36.828445,-3.31492
1825,1,1356,20.799999237060547,11.899999618530273,-0.4099999964237213,10.550000190734863,30.594721,-1.479411
1826,1,1754,18.700000762939453,13.699999809265137,-0.25,11.229999542236328,34.996788,-1.307681
1827,1,1088,19.299999237060547,15.399999618530273,-0.6700000166893005,12.149999618530273,28.78798,-24.44151
1828,1,960,22.299999237060547,15.699999809265137,-0.75,15.069999694824219,23.048344,-19.28671
1829,1,1385,17.899999618530273,15.300000190734863,-0.5799999833106995,10.220000267028809,27.823088,-24.304729
1830,1,1832,17.100000381469727,16,-0.5899999737739563,12.779999732971191,36.828121,0.141509
1831,1,286,21.799999237060547,13.300000190734863,-0.5799999833106995,12.479999542236328,31.641153,-25.382887
1832,1,1795,17.600000381469727,16.299999237060547,-0.6200000047683716,13.210000038146973,36.80448,0.251168
1833,1,950,22.299999237060547,15.699999809265137,-0.75,15.079999923706055,23.282632,-19.550006
1834,1,965,22.299999237060547,15.800000190734863,-0.75,15.010000228881836,22.753559,-19.231678
1835,1,516,25.100000381469727,10.699999809265137,-0.6100000143051147,11.229999542236328,38.62032,-3.312263
1836,1,538,22.100000381469727,15.899999618530273,-0.8100000023841858,12.930000305175781,29.255078,-22.16764
1837,1,202,29.200000762939453,13.899999618530273,-0.7799999713897705,12.930000305175781,2.995112,13.501588
1838,1,234,29,14,-0.7799999713897705,12.720000267028809,2.845197,13.508306
1839,1,232,29,14,-0.7699999809265137,12.430000305175781,2.81229,13.429817
1840,1,199,29.200000762939453,13.899999618530273,-0.7699999809265137,12.970000267028809,2.985959,13.418575
1841,1,234,29,14,-0.7799999713897705,12.720000267028809,2.913263,13.552846
1842,1,234,29,14,-0.7799999713897705,12.720000267028809,2.8853240000000002,13.564089
1843,1,245,28.899999618530273,14,-0.7799999713897705,12.84000015258789,2.809844,13.54904
1844,1,203,29.100000381469727,13.899999618530273,-0.7599999904632568,12.789999961853027,2.977021,13.416538
